剪刀手爱钓鱼,保密,2021-10-28 00:23:54,新疆棉是比较高档的棉花，好多低端品牌用不起的,27576,223
芥末味薄荷糖,女,2021-10-27 19:49:36,新疆彩棉也该打响，有多少人还不知道棉花除了白色外，还有其他颜色[嗑瓜子],15241,405
珩杳,男,2021-10-28 09:12:22,终于不是侵华的眯眯眼了[doge],8577,57
架青乘白,男,2021-10-29 12:06:43,友情提示，新疆棉是高档棉，一些舍不得花钱给你用好棉的厂商根本就是口嗨，就比如……,7317,28
狮子是陌生人,保密,2021-10-27 21:45:09,至少新疆棉事件后，我本人没有买过那些[OK],5548,128
穆桂嘤,保密,2021-10-27 22:53:26,坚叔微博每天都要转发新疆的美食美景美人，已然是新疆宣传大使了[星星眼][星星眼][星星眼],5273,35
_-Tim-_,保密,2021-10-29 15:29:33,然而Nike双十一大卖。。。我反正是不会沾这些恶心人的东西了。。。,3917,90
淘淘小仙子,保密,2021-10-28 10:51:47,如果T台后面停两台棉花收割机就完美了。,3818,22
Changmingliang,保密,2021-10-27 21:41:25,商业化意识再强点，政府出面，拉资源直接成立个品牌，多好的机会,2806,31
高温状态,男,2021-10-28 13:33:17,@清华大学 [吃瓜][吃瓜][吃瓜]看戏,2310,51
老秃鹫,男,2021-10-27 21:57:58,"中国：棉田走秀美不胜收
美国：棉田虐奴枪声不绝",1429,4
vicky135246,保密,2021-10-27 20:59:43,哈哈哈，就应该这样，趁机打响名堂,726,6
viusvior,保密,2021-10-28 23:05:51,"我男朋友要去援疆啦
不舍得可还是支持他[打call][打call][打call]",600,9
账号已注销,保密,2021-10-27 19:29:02,好漂亮的时尚秀，一定要去新疆[doge][doge],548,9
九州令羲和,保密,2021-10-29 10:07:58,娱乐明星都和某些品牌解约了，结果那么多体育运动员（苏炳添推广Nike，胡明轩签约阿迪，杨舒予签约AJ）都抵制个寂寞啊,333,27
梦想是一只大懒猫,保密,2021-10-28 20:49:16,这衣服主要还很接地气，我们平常普通人都可以穿出去的那种,293,7
截图车队bbdj,保密,2021-10-27 21:15:56,这花真好，昨晚还做梦梦到自己家棉花收了，俺是河南的[笑哭],278,2
想吃糖的采菊,女,2021-10-27 21:47:02,还有汉服，爱了爱了[害羞],263,1
重新作仁,保密,2021-11-12 12:09:35,别人不买是别人的自由，但别看人抵制就阴阳怪气别人穷，我爸是公司股东＋总经理，但我们一家从来没买过阿迪，穿的都是安踏李宁(李宁以后估计也不会买了)，至于我爸在河南暴雨后表示想尝试一下鸿星尔克。,172,7
zz066,保密,2021-10-28 14:17:23,话说自从这事件以后，某克某迪我已经很久没买了，以后也都不会买了，省钱小妙招get[OK],171,10
羹蛇行动,男,2021-10-28 07:19:05,眯眯眼的有可能不是怪物，也有可能是你的清华学长学姐[doge],88,3
星辰微微茫,男,2021-10-28 01:14:13,怎么没化成眯眯眼[doge],81,13
clverver,保密,2021-10-28 02:01:09,汉服不错，好主意,71,0
铑鬼,男,2021-10-27 19:30:14,新疆风景好吗？没去过唉,67,25
无名之辈丨,男,2021-10-31 10:57:02,"20年前红高粱模特队出现在电视里。
20年后白棉花模特队出现在现实里。[热词系列_好耶]",57,0
灰色轨迹4869,保密,2021-10-28 10:58:50,@新华社 华子来看一下新疆的时装秀啊[doge],52,1
宅椒,女,2021-10-29 10:53:19,新疆棉做的贴身衣物特别舒服，和别的比能明显摸出差别。[星星眼][星星眼][星星眼],51,3
南海十三郎゜,男,2021-10-28 18:25:45,骑到他们脸上输出,48,0
山海经里的怪兽,女,2021-10-27 22:10:16,一点不违和耶,41,0
螃蟹壳虾米,保密,2021-10-27 21:59:11,BBC：杀人诛心呐,40,0
魔法故事花园z,女,2021-10-27 22:05:16,好美，棉花[给心心][福到了],21,2
悦姐她老爸,男,2021-10-28 16:06:57,老美的骚操作，整的华为出名了，搞得新疆棉也出名了。讲真话，不是此次事情，我还真不知大新疆棉这么牛。另外作为职场人，还是建议，国企别崇洋媚外了，设备都指定购买进口的，一方面指责国产不好，一方面给进口的价格是国产的五六倍甚至十几倍。你给国产的翻一倍，你看质量好不好。,19,0
nanamicattery,保密,2021-10-28 10:36:55,新疆棉事件以后我就不买耐克hm那些了，反正一定要爱国，大的咱做不了、这种小事还是可以做的。,19,0
小云仙儿,保密,2021-10-27 21:16:10,一次T台一边彩棉，一边白色棉花好吗[打call],19,0
一米见方,保密,2021-10-28 03:56:41,晚上打光后，效果更好！,17,1
你的血管很好啊,男,2021-10-28 02:00:25,我能骂优衣库辣鸡吗？我花了九十块钱买的短袖T恤洗了几次衣服硬得就不像样子，当抹布都嫌次，呸！,17,4
白露薇Lewisia,保密,2021-10-29 15:36:31,"总觉得这个气氛应该配赵本山小品里那个走秀的BGM
诶——嗨——诶~嗨艾嗨哟——
火辣辣的心呐，火辣辣的情……",16,1
-AyNixiak,保密,2021-10-29 12:06:10,都站住！链接发一下！  对！没错！就是棉花链接！衣服链接也发一下！,13,0
鹏鹏Gilbert,男,2021-10-29 10:53:23,高中地理课上，就知道新疆的棉花是高档品才会用的。HM忽然的造谣都把我整懵了，他们用不起吧,13,0
10块腹肌小泰迪,保密,2021-10-28 07:05:38,我觉着劳动者是最美的银！！,13,1
金风细雨六分半,保密,2021-10-29 08:09:27,各位兄弟大妹子们有没有人知道这是哪个品牌的？我想要那件黑旗袍和那个老奶奶穿的圆领袍,11,2
丶梧桐细雨丶,保密,2021-10-30 01:36:31,新疆棉花质量很好的，我嫂子的姐夫就是新疆人，之前还专门托他们从新疆带了两床新疆棉花做的棉被[点赞],10,1
爱尔兰兰兰兰兰,保密,2021-10-28 15:59:04,胡明轩代言阿迪，苏神代言耐克,10,0
biang-jiajia,保密,2021-10-28 16:26:11,这么好看有创意的T台为什么不火,9,0
泡椒大菠萝,保密,2021-10-30 10:45:32,意识形态必须正确,8,0
被厌恶者的哲学,男,2021-10-28 06:31:57,雖然也不錯，但是在田里嘛還是希望整點工裝秀,8,0
金鱼爱熊猫,保密,2021-10-27 22:27:20,要是可以安排采棉工也加入走秀就更棒了,8,7
bili_74774403354,保密,2021-10-27 19:34:35,太美了，加油！,8,0
弓弦UU,保密,2021-10-30 11:31:32,互联网不能没有记忆nike，addias,5,0
吴痛针灸,保密,2021-10-28 17:51:37,建议扛着弹棉花的大弓走一波秀[doge],5,0
海盐西柚冰柠茶,保密,2021-10-28 14:50:54,哎，真的是造谣一张嘴儿，辟谣跑断腿儿[捂脸],5,0
少年白衣纵马笑,保密,2021-10-27 20:33:51,嘶！有些许离谱[doge],5,0
MathildeKaya,保密,2021-11-14 14:26:46,我觉得吧，咱有好的材料，也要做好的设计和品牌，设计师们加油加油!我等着你们填满我的衣柜和鞋柜!,4,0
慎言独身,保密,2021-11-02 22:49:11,然鹅某打破纪录田径运动员苏代言Nike 真的是太好笑了[吃瓜]🤡🤡,4,0
耗子家的哆啦,保密,2021-11-02 15:37:31,气质奶奶的圆领袍好飒爽,4,0
陌上銮灯,保密,2021-10-29 11:41:52,一瞬间……有几款就深得我心，喵呀，好看又实用，啥时候有同款？,4,0
靥夜飞花,男,2021-10-28 16:57:26,链接呢链接呢链接呢链接呢链接呢链接呢链接呢链接呢链接呢链接呢链接呢链接呢链接呢链接呢链接呢链接呢链接呢链接呢链接呢链接呢链接呢链接呢链接呢链接呢,4,0
f111r,保密,2021-10-28 08:02:03,买过一些日本本土品牌的衣服应该都知道，有的衣服上面都有个单独的标签写着优选美国棉花。,4,0
闹海ing----,保密,2021-11-21 14:56:29,赞！！大美新疆[支持][支持][支持],3,0
玖玖术,保密,2021-10-29 19:57:19,胡明轩就是新疆人，可以让他当模特,3,0
NA壹点点,保密,2021-10-29 11:13:51,这种视频下面，竟然不放个购买链接啥的~！?,3,0
白嫖怪成精,保密,2021-10-28 08:51:50,清华学学人家,3,0
酒精过敏的酒剑仙,保密,2021-11-21 20:53:45,说真的第一次知道“优衣库”还是在某网曝门[OK][OK][OK],2,0
内媚的岳小钗,保密,2021-11-17 21:10:22,"然而，耐克在你们苏神的代言下，销量又创新高~
打脸是遇见导的，没想到打脸的是我们的田径英雄，，，笑尿了，外国人嘲笑我们不是没有原因的。",2,0
沧井一粟,保密,2021-11-14 21:36:47,"必须赞！[支持]
别个越是泼脏水咱越是秀给他看[藏狐]",2,0
咱今儿发疯了吗,保密,2021-11-13 13:12:59,希望有一天我能够买到新疆棉做的汉服,2,1
丢了老号的老金,保密,2021-11-12 15:07:20,衣服还是一般，没有主题，种类繁杂，直接搞场大的，真正大品牌或者联名的走秀，请国内知名的摄影师来拍，后面热度全炒上去，营销也弄起来。那些抵制新疆棉的垃圾品牌才能流失更多的客户,2,0
DASHABIOVERLXRD,男,2021-11-11 20:36:34,新疆棉贵的，有些厂牌还诋毁，看到是我们的就疯狂诋毁呗，行，我们也不买你们的，用你们的劣质棉花骗顾客去吧[给心心],2,0
天极宙始荒古剑帝,男,2021-11-04 18:26:53,麻烦严查苏炳添和胡明轩！！,2,1
一抹夏悠悠,男,2021-11-01 19:52:06,内个，摘棉花了,2,1
账号已注销,保密,2021-10-30 11:04:25,首页第一条[OK]我啪的一下就点进来了[热词系列_燃起来了][热词系列_知识增加][热词系列_燃起来了],2,0
嘻嘻咦嘻嘻哈哈咦哈哈,男,2021-10-29 19:39:50,个人感觉穿汉服一类的应该走慢点太快的话感觉轻浮,2,0
持有熏肉の畑山,保密,2021-10-29 07:08:23,我无权阻止别人买洋鬼的产品，但我能做到管好自己,2,0
夺命大阔乐,保密,2021-10-28 20:47:11,这不比眯眯眼好看多少倍[OK],2,0
广广总督,保密,2021-10-27 22:15:46,社长，我们没借口骂（诬陷诋毁）他们了！！（嗯，这个嘛……那就……骂…骂他们…破坏棉田才铺的T台…）,2,0
色授魂与,男,2021-10-27 21:10:14,[鼓掌][鼓掌][鼓掌][鼓掌][鼓掌],2,0
su永遠有多遠,女,2021-10-27 21:09:44,好！,2,0
幽兰youlanck,男,2021-11-23 18:53:27,劳动人民就是最美的，没人劳动吃啥、穿啥，没吃、没穿还臭美啥,1,0
舢河,男,2021-11-22 04:21:30,评论区也搞政治正确吗？希望可以理性爱国，我依然买耐克，会用苹果，会去国外留学，但这不影响我爱国[捂脸],1,1
