弹幕时间,弹幕内容
2021-03-28 10:30:40,↓试卷        ↓做阅读理解的你          .
2021-03-26 23:46:50,文言文翻译现状
2021-03-26 16:41:34,看见救世主的眼神
2021-03-31 11:20:11,《班 级 大 合 唱》
2021-03-27 00:14:35,字 正 腔 圆
2021-03-27 15:32:54,语 文 课 代 表
2021-03-26 23:23:10,你家花姑娘是这个声音？
2021-03-28 13:55:06,引  来  游  击  队  的  花  生  米
2021-03-27 00:57:54,老幺这眼神绝了，松了口气
2021-03-26 11:42:58,你完全融入他们两个了啊喂
2021-03-28 23:11:50,《百鬼夜行》
2021-03-27 21:12:49,溯洄从之，道阻且长
2021-03-27 18:31:42,你们想一下当时，拍这个电影的时候老百姓有几个识字的?
2021-03-27 17:56:20,姑娘：我当时害怕极了
2021-03-27 08:37:18,跨  服  交  流
2021-04-01 23:41:32,企业级理解 笑死我了
2021-04-03 18:06:20,最强辅助即将上线
2021-03-27 18:32:01,难道要，他们看字幕来明白说的什么吗 
2021-03-31 11:24:32,《自 寻 死 路》
2021-06-13 13:16:27,懂了    乡亲们=花姑娘
2021-06-08 11:14:48,大大的花姑娘（指喀秋莎）
2021-03-30 21:14:04,弹棉花哟弹棉花 东洋的鬼子烧又杀哟 (高赞评论改编)
2021-03-27 16:19:15,这情况可真是矛盾，又想笑，又担心姑娘的安危
2021-03-27 22:36:48,莫名像熊二的声音哈哈哈哈
2021-03-26 18:58:43,先
2021-03-27 18:31:11,有好多人在说关于日本人说中国话的事。
2021-03-27 01:43:00,我愿称之：最强辅助！！！！！！
2021-03-26 16:49:37,【司马师】【司马昭】抱着爆米花进入直播间
2021-03-28 00:18:18,三 小 只
2021-04-04 21:35:17,歌  唱  比  赛
2021-04-03 12:28:59,网  易  云  音  乐
2021-03-26 19:23:00,弹 棉 花 罗
2021-03-26 10:56:30,谭谈交通
2021-03-29 22:10:34,弹棉花世家三代目
2021-04-02 14:31:23,真的把媳妇唱过来了
2021-03-28 13:06:31,《日语》
2021-03-26 10:55:30,《温柔》
2021-03-25 18:14:25,SSR级辅助
2021-03-26 22:53:26,翻译讲究信达雅
2021-03-31 23:31:38,汉语翻译成汉语？
2021-12-07 16:11:01,士兵：这个指挥官脑子有包吧
2021-10-30 19:33:47,2.弹棉花这个桥段出自电影《巧奔妙逃》，电影播出时期国内都是文盲
2021-04-20 02:18:06,《传 世 经 典》
2021-04-05 14:08:11,父亲快看，司马懿
2021-08-15 14:58:47,你看他笑的多开心啊
2021-04-25 19:43:52,死诸葛吓走活仲达，司马懿气极弹棉花
2021-04-21 21:26:50,A K A 祖孙三代
2021-05-31 12:20:21,《鬼子》
2021-05-15 13:20:33,“鬼子问你会不会弹”……
2021-04-12 10:44:40,曲线救国的翻译官
2021-04-10 21:06:35,相父快看，是司马懿！
2021-04-04 22:06:12,花姑娘拔腿就跑
2021-12-02 23:43:10,痰棉花
2021-07-30 13:20:01,翻译了个寂寞
2021-07-11 19:11:05,鬼子哈哈哈哈，这个翻译也是绝了，怕不是地下党
2021-06-11 15:07:53,经典老番
2021-04-19 17:50:53,多兰盾
2021-04-17 13:43:14,（司马宣王，司马景王，司马文王）
2021-04-12 10:44:22,硬核翻译
2021-04-11 16:22:43,温♂柔
2021-04-08 18:14:08,会一点，只会弹一点点
2021-08-11 09:52:38,那个姑娘在以前也许真的在等，可是再也等不回来了……
2021-04-07 12:26:52,新华社？？？
2021-04-04 19:41:42,废话    我家祖宗三代都是弹棉花的
2021-12-19 16:19:28,您的花姑娘即将到达战场
2021-12-19 16:19:22,您的花姑娘即将到达战场
2021-12-14 16:04:40,花姑娘登场
2021-11-28 16:59:27,《 T F M A N S 》
2021-11-11 16:46:12,我超喜欢这里的
2021-11-07 23:04:39,当时没有字幕，说日语大家可能听不懂所以才中文翻译中文
2021-10-30 13:57:44,《什么叫翻译》
2021-09-04 13:25:47,鬼子：我可太懂华尔兹了
2021-08-30 15:19:18,游击队：花姑娘没有，花机关大大滴有。
2021-08-18 11:03:20,震 撼 天 皇 一 万 年
